State	Airport ID	Airport / Location	Last Reported	Vehicle Description
Illinois	KGRE	Greenville Airport	3/2025	Courtesy car; nice FBO with snacks
Illinois	KHSB	Harrisburg - Raleigh Airport	4/2025	Courtesy car available
Illinois	KIJX	Jacksonville Municipal	7/2025	2 free courtesy cars; first come first served
Illinois	KJOT	Joliet Regional	4/2025	Jeep Compass
Illinois	KIKK	Greater Kankakee Airport	7/2025	Toyota Yaris IA; first come first served; 2-hour limit
Illinois	KEZI	Kewanee Municipal - Chrysler Town and Country van	8/2024	Chrysler Town and Country van
Illinois	C75	Lacon - Marshall Co.	7/2025	White Dodge Ram
Illinois	3LF	Litchfield	4/2025	Courtesy transportation
Illinois	KAAA	Lincoln - Logan County / museum on field	4/2025	Car; $0.50/mile donation
Illinois	KMQB	Macomb Municipal - Jet Air	4/2025	Cars available
Illinois	KMTO	Mattoon/Charleston - Coles County Memorial	7/2025	Mercedes crew car
Illinois	KMLI	Moline/Quad City International - Elliott Aviation	7/2025	Courtesy car available
Illinois	C09	Morris	11/2025	2 courtesy cars
Illinois	KPRG	Paris - Edgar County Airport	8/2024	Impala retired police car
Illinois	C15	Pekin Municipal	7/2025	Car available
Illinois	KVYS	Peru - Illinois Valley Regional / Walter A Duncan Field	8/2025	Ford Explorer
Illinois	KPJY	Pinckneyville/Du Quoin Airport	7/2025	Courtesy car; cheap self-serve fuel; snacks
Illinois	KPNT	Pontiac Municipal - Pontiac Flying Service	7/2025	Fleet including old fire dept vehicle and Volvo
Indiana	KAID	Anderson Municipal - Darlington Field	4/2025	Courtesy car available
Indiana	KGWB	Auburn - De Kalb County / Sweet Aviation	7/2025	Car; $75/night or $95 van overnight
Indiana	KBFR	Bedford - Virgil I Grissom Municipal	6/2025	Crown Vic; call ahead
Indiana	KBMG	Bloomington - Monroe County / BMG Aviation & Cook Aviation	7/2025	Cars at multiple FBOs
Indiana	KBAK	Columbus Muni - A-Jet Access	8/2024	2 cars
Indiana	KCEV	Connersville - Mettel Field	4/2025	2 courtesy cars
Indiana	KCFJ	Crawfordsville Muni - Red Top Aviation	7/2025	Courtesy car available
Indiana	KEVV	Evansville Regional - United Air Center	7/2025	First come first served; 2-hr minimum
Indiana	KSMD	Ft. Wayne - Smith Field	7/2025	Courtesy transportation
Indiana	KFRH	French Lick Municipal	10/2024	Car available; casino shuttle also
Indiana	KFKR	Frankfort Municipal - A-Jet Access	7/2025	Courtesy car available
Indiana	KGYY	Gary/Chicago International - Gary Jet & Coleman Aviation	7/2025	Cars at multiple FBOs
Indiana	KHNB	Huntingburg	8/2024	2 crew cars; 24/7 access
Indiana	KTYQ	Indianapolis Executive - A-Jet Access	7/2025	Car available
Indiana	KHFY	Indianapolis - Greenwood Muni	7/2025	2 cars; close to Indianapolis
Indiana	KIND	Indianapolis International - Signature & Million Air	7/2025	Courtesy transportation
Indiana	KMQJ	Indianapolis Regional - A-Jet Access	7/2025	Car available
Indiana	KEYE	Indianapolis - A-Jet Access	7/2025	Car available
Indiana	KUMP	Indianapolis Metropolitan - Tom Wood Aviation	7/2025	2 cars
Indiana	KJVY	Jeffersonville - Clark Regional / Honaker & ASI	7/2025	Cars at multiple FBOs
Indiana	50I	Kentland Municipal	10/2024	Dodge Charger; call manager for keys; no charge
Indiana	KOXI	Knox - Starke County	7/2025	Courtesy car; hangers available
Indiana	KLAF	Lafayette - Purdue University / Lafayette Aviation	8/2024	3 cars available
Indiana	KPPO	La Porte Municipal	8/2024	Courtesy car available
Indiana	KIMS	Madison	12/2025	2 courtesy cars (not pretty but functional)
Indiana	KMZZ	Marion Municipal - McKinney Field	8/2024	Car and Suburban
Indiana	KMCX	Monticello - White Co. / Townsend Aviation	7/2025	Courtesy car available
Indiana	KMIE	Muncie - Delaware Co. / Muncie Aviation	7/2025	Courtesy car available
Indiana	I76	Peru Municipal	8/2024	2006 Crown Vic
Indiana	C65	Plymouth Muni	4/2025	Crown Vic and Kia SUV
Indiana	KPLD	Portland Muni	7/2025	Courtesy transportation
Indiana	I42	Paoli Municipal	9/2024	Chevy Tahoe; cash or check only for fuel
Indiana	KRZL	Rensselaer - Jasper County	9/2024	Chevy Cavalier
Indiana	KRCR	Rochester - Fulton County	8/2024	2 cars
Indiana	KGEZ	Shelbyville	7/2025	Courtesy car available
Indiana	KSIV	Sullivan Co.	7/2025	Courtesy car available
Indiana	KHUF	Terre Haute Intl - Hoosier Aviation	7/2025	Courtesy car available
Indiana	KVPZ	Valparaiso - Porter Co. Regional	8/2024	3 cars
Indiana	KASW	Warsaw Muni	8/2025	Courtesy cars available
Indiana	KDCY	Washington - Daviess Co.	4/2025	Impala and GMC Arcadia SUV
Indiana	I22	Winchester - Randolph County	7/2025	2014 Chrysler Town & Country; free with fuel; $20-40 without
Iowa	KAXA	Algona Municipal - Algona Aero Services	4/2025	GMC of some sort
Iowa	KAMW	Ames Municipal	4/2025	Courtesy car available
Iowa	KIKV	Ankeny Exec 1	4/2025	2 cars; first come first served
Iowa	KAIO	Atlantic Municipal	4/2025	Old cop car
Iowa	KTZT	Belle Plaine Municipal	8/2024	Van available
Iowa	KBNW	Boone Muni - Farnham Aviation	8/2024	Courtesy car available
Iowa	KBRL	Burlington - Southeast Iowa Regional / Jet Air	4/2025	Impala crew car
Iowa	KCIN	Carroll - Carroll Aviation	8/2024	Courtesy van; RON possible
Iowa	KTVK	Centerville Muni	7/2024	2 cars
Iowa	KCNC	Chariton Muni	7/2025	1-2 cars
Iowa	KCKP	Cherokee Regional - Top Notch Aviation	7/2025	Courtesy car available
Iowa	KCWI	Clinton Municipal	7/2025	Courtesy car available
Iowa	KCBF	Council Bluffs Muni - Revv Aviation	7/2025	Courtesy car available
Iowa	KDVN	Davenport Municipal - Revv Aviation	7/2025	Courtesy car available
Iowa	KDEH	Decorah Municipal	5/2025	Retired police cruiser
Iowa	KDNS	Denison Municipal	1/2025	Car available; overnight possible with call ahead
Iowa	KDSM	Des Moines International - Signature & Modern Aviation	8/2024	Cars at multiple FBOs
Iowa	KFFL	Fairfield - Fairfield Flying Service	4/2025	Honda Civic
Iowa	KHPT	Hampton Municipal - Schumann Aviation	7/2025	Car available
Iowa	KIIB	Independence Municipal - James H Connell Field	9/2024	Car available
Iowa	KIOW	Iowa City Muni - Jet Air	5/2025	Courtesy car available
Iowa	KEOK	Keokuk Muni	6/2025	Courtesy car available
Iowa	KOXV	Knoxville Municipal	4/2025	Ford Crown Victoria
Iowa	KLRJ	Le Mars Municipal	4/2025	Crown Vic and van
Iowa	C27	Manchester Municipal	8/2024	1 car
Iowa	C17	Marion Airport	7/2025	Car available; call ahead preferred
Iowa	KOQW	Maquoketa Municipal	8/2024	Courtesy car available
Iowa	KMCW	Mason City Municipal - North Iowa Air Service	8/2024	Car available
Iowa	KMPZ	Mt Pleasant - Air Advantage	2/2025	2 cars
Iowa	KMUT	Muscatine Muni - Revv	7/2025	Crew car
Iowa	KOLZ	Oelwein Municipal	12/2024	Car available; contact city office
Iowa	I75	Osceola Municipal	8/2024	1 car
Iowa	KOOA	Oskaloosa Municipal - Classic Aviation	8/2024	Ford station wagon
Iowa	KPEA	Pella - Classic Aviation	7/2025	3 cars
Iowa	KRDK	Red Oak	8/2024	Car available
Iowa	KSDA	Shenandoah Muni	7/2025	Chevy Trailblazer; overnight at Airbnb possible
Iowa	KSUX	Sioux City - Oracle Aviation	7/2025	Courtesy car available
Iowa	KAWG	Washington Muni	7/2025	Courtesy van
Iowa	KALO	Waterloo Regional - Livingston Aviation	7/2025	2 Honda Accords; RON possible; no fees
Kansas	K78	Abilene Municipal - Abilene Flying Service	8/2024	2 Impalas
Kansas	3AU	Augusta Municipal	4/2025	Car available; mogas too
Kansas	K59	Atchison - Amelia Earhart Airport	8/2024	Dodge Charger; museum on field
Kansas	KADT	Atwood - Rawlings Co.	8/2024	Courtesy car available
Kansas	KUKL	Burlington - Coffey Co.	8/2024	Crew cars available
Kansas	KCFV	Coffeyville Municipal	8/2024	2 cars
Kansas	KCNK	Concordia - Blosser Municipal	8/2024	Courtesy car available
Kansas	KDDC	Dodge City Regional - Crotts Aircraft	8/2024	Buick Century
Kansas	9K7	Ellsworth Muni	8/2024	2 cars
Kansas	KEQA	El Dorado - Captain Jack Thomas Memorial	8/2024	Courtesy transportation
Kansas	KEHA	Elkhart - Morton County	4/2025	2 cars
Kansas	KEMP	Emporia Municipal	8/2024	Two new Chevy Traverse
Kansas	KGCK	Garden City Regional - Crosby	8/2024	2 cars
Kansas	KGLD	Goodland Municipal - Renner Field / Butterfly Aviation	8/2024	2 cars
Kansas	KGBD	Great Bend - Coulson Aviation	8/2024	Car available; no ramp fees
Kansas	KHYS	Hays Regional - Hays Aircraft	8/2024	2 cars
Kansas	KHQG	Hugoton Municipal	4/2025	Car available
Kansas	KHUT	Hutchinson Municipal - Wells Aircraft	8/2024	Courtesy car available
Kansas	3JC	Junction City - Freeman Field	4/2025	2009 white Tahoe
Kansas	K88	Iola - Allen Co. / Allen FBO	9/2024	4 vehicles; mogas available
Kansas	9K8	Kingman Airport	8/2024	Courtesy transportation
Kansas	KLQR	Larned - Pawnee Co.	8/2024	Courtesy car available
Kansas	KLWC	Lawrence Municipal - Hetrick Air Services	8/2024	2 cars
Kansas	KLBL	Liberal Regional - Lyddon Aero	8/2024	Car available; no ramp fees; air museum on field
Kansas	KLYO	Lyons - Rice County Municipal / A Plus Aviation	8/2024	Courtesy car available
Kansas	KMHK	Manhattan Regional	8/2024	Courtesy car available
Kansas	KMYZ	Marysville Municipal	8/2024	1 car
Kansas	KMPR	Mc Pherson Airport	8/2024	1 car
Kansas	47K	Moundridge Municipal	8/2024	Crown Vic; mogas available
Kansas	KEWK	Newton City/County Airport	8/2024	Car available
Kansas	KOEL	Oakley - A Plus Aviation	8/2024	Courtesy car available
Kansas	KOIN	Oberlin Municipal	8/2024	Car available; keys in terminal
Kansas	KIXD	Olathe - New Century / Turbocharged PT Cruiser & Advanced Jet	4/2025	Cars at multiple FBOs
Kansas	KOJC	Olathe - Johnson Co. Exec / KCAC Aviation	8/2024	Car available; no ramp fees
Kansas	KOWI	Ottawa Muni	8/2024	Courtesy transportation
Kansas	KPPF	Parsons - Tri City / Galaxy Air	8/2024	Courtesy car available
Kansas	KPTS	Pittsburg - Atkinson Muni	8/2024	Courtesy car available
Kansas	KPTT	Pratt Regional - Pratt Air	8/2024	Car available
Kansas	KRSL	Russell Municipal	8/2024	Car available
Kansas	K83	Sabetha Municipal	4/2025	Buick Lucerne in nice condition
Kansas	KSLN	Salina Regional - AVFlight	7/2024	Several cars; courtesy van
Kansas	K82	Smith Center	4/2025	Dodge Charger; new runway; 24-hr self serve
Kansas	5K2	Tribune Municipal	4/2025	Chevy Impala; call Arlee for key location
Kansas	KEGT	Wellington Muni	8/2024	Courtesy car available
Kansas	KAAO	Wichita - Colonel James Jabara / Clemons Aviation	8/2024	2 cars
Kansas	KICT	Wichita - Mid Continent / Clemens	8/2024	Courtesy car available
Kentucky	KBRY	Bardstown - Samuels Field Aviation	8/2024	Courtesy car available
Kentucky	KCVG	Covington Cincinnati - Northern Kentucky Intl / Premier FBO	7/2025	Courtesy car available
Kentucky	0I8	Cynthiana - Harrison County Airport	7/2025	Courtesy transportation; open 24 hrs
Kentucky	KDVK	Danville - Powell Airport	7/2025	Courtesy car available
Kentucky	KFFT	Frankfort - Capitol City	7/2025	Courtesy shuttle
Kentucky	K62	Falmouth - Gene Snyder Airport	7/2024	Car available; call manager Dan Bell in advance
Kentucky	KFGX	Flemingsburg - Fleming-Mason Aviation	7/2025	Courtesy car available
Kentucky	27K	Georgetown - Fly Georgetown	7/2025	Courtesy car available
Kentucky	KGLW	Glasgow Municipal - Glasgow Aviation	11/2024	Courtesy car; near Mammoth Cave
Kentucky	M21	Greenville - Muhlenberg Co.	7/2025	Courtesy transportation
Kentucky	I93	Hardinsburg - Breckinridge County	4/2025	Chrysler Pacifica
Kentucky	I35	Harlan - Tucker-Guthrie Memorial	7/2025	Courtesy car available
Kentucky	KEHR	Henderson City-County - Don Davis Aviation	4/2025	Courtesy car available
Kentucky	KHVC	Hopkinsville - Christian County	12/2025	Dodge Charger and Ford Explorer
Kentucky	KLEX	Lexington - Blue Grass / Signature & WestLEX	7/2025	Cars at multiple FBOs
Kentucky	KLOZ	London - Corbin Airport	4/2025	Courtesy car available
Kentucky	KLOU	Louisville - Bowman Field / Louisville Executive Aviation	7/2025	Courtesy car available
Kentucky	KSDF	Louisville International - Atlantic	7/2025	Courtesy transportation
Kentucky	M25	Mayfield - Graves County	7/2025	Chrysler minivan
Kentucky	1A6	Middlesboro - Bell County	4/2025	Courtesy car available
Kentucky	KSYM	Morehead - Rowan County / Holley Aviation	9/2024	Pickup and Crown Vic
Kentucky	KIOB	Mt Sterling - Montgomery Co. / Kentucky Airmotive	7/2025	Courtesy car available
Kentucky	KCEY	Murray - Kyle-Oakley Field	4/2025	Chrysler Town & Country
Kentucky	KOWB	Owensboro - Daviess County / Mid America Jet	9/2024	Courtesy car available
Kentucky	KPBX	Pikeville - Pike Co.	8/2024	2 cars
Kentucky	KSJS	Prestonsburg - Big Sandy Regional / Cox Aviation	7/2024	Manager's personal vehicle; fill it up
Kentucky	KRGA	Richmond - Central Kentucky Regional / EKU Aviation	7/2025	Courtesy car available
Kentucky	KSME	Somerset - Lake Cumberland Regional	7/2025	Courtesy car available
Kentucky	KTZV	Tompkinsville - Monroe County	4/2025	Chevy Equinox
Kentucky	KBYL	Williamsburg - Whittley Co.	7/2025	Courtesy car available
Louisiana	KAEX	Alexandria International - Million Air	8/2024	3 crew cars
Louisiana	KBTR	Baton Rouge Metropolitan / BTR Jet & Signature	8/2024	Cars at multiple FBOs
Louisiana	KDRI	De Ridder - Beauregard Regional	8/2024	Courtesy car available
Louisiana	KREG	Gonzales - Louisiana Regional	8/2024	Car for lunch use
Louisiana	KHDC	Hammond Northshore Regional / Pierce Aviation & Top Gun	8/2024	Cars at multiple FBOs
Louisiana	KHUM	Houma-Terrebonne / Apex Jet & Hammonds Air Service	7/2024	Cars at multiple FBOs
Louisiana	3R7	Jennings Airport - Gulf Air	8/2024	Courtesy car available
Louisiana	KLCH	Lake Charles Regional - Freeman Jet	8/2024	Courtesy car available
Louisiana	3F3	Mansfield-Williams Airport	4/2025	Courtesy car; bunk room available
Louisiana	KMLU	Monroe Regional - AvFlight Monroe	7/2024	Courtesy transportation
Louisiana	KIER	Natchitoches	4/2025	Multiple cars; reasonable fee reported
Louisiana	KNEW	New Orleans - Lakefront / Signature & Flightline First	8/2024	Cars at multiple FBOs; 3-hour limit
Louisiana	KMSY	New Orleans - Armstrong Intl / Signature & Atlantic	8/2024	Cars at multiple FBOs
Louisiana	KHZR	New Roads - False River Regional	8/2024	Courtesy transportation
Louisiana	KPTN	Patterson - Williams Memorial / Perry Flying Center	8/2024	Courtesy car available
Louisiana	KAPS	Reserve - Port of South Louisiana Exec Regional	8/2024	Courtesy transportation
Louisiana	KRSN	Ruston Regional	4/2025	Mercury Grand Marquis; 2-hour limit
Louisiana	KDTN	Shreveport Downtown Airport	4/2025	Courtesy car available
Louisiana	KUXL	Sulphur - Southland Field / Southland Aviation	8/2024	Courtesy car available
Louisiana	KTVR	Tallulah Regional - Harvey's Caravan	8/2024	Caravan crew car
Louisiana	0R4	Vidalia - Concord Parish	8/2024	Courtesy car available
Maine	KLEW	Auburn/Lewiston Municipal	2/2025	Ford Escape; can be reserved
Maine	KBGR	Bangor International - BGR Aviation	8/2025	Courtesy car available
Maine	KBHB	Bar Harbor - Modern Aviation	8/2025	Courtesy car available
Maine	KBST	Belfast Municipal	8/2025	Courtesy car; see use policy online
Maine	0B1	Bethel Regional	8/2025	Courtesy transportation and bicycles
Maine	KBXM	Brunswick Exec - Flight Level Aviation	8/2025	Courtesy car available
Maine	KEPM	Eastport Muni	8/2025	Car at easternmost Continental US airport; camping
Maine	KFVE	Frenchville - Northern Aroostook Regional	4/2025	Car still available
Maine	3B1	Greenville Municipal	4/2025	Mercury Mountaineer
Maine	KHUL	Houlton International	4/2025	Courtesy car; self-serve avgas
Maine	KPWM	Portland International - Northeast Air & Mac Air	8/2025	3 cars at Mac Air plus more at Northeast Air
Maine	KSFM	Sanford Seacoast Regional / Southern Maine Aviation	8/2025	Free crew car
Maryland	KMTN	Baltimore - Martin State / Martin FBO	8/2025	Courtesy car available
Maryland	KBWI	Baltimore/Washington Intl - Signature	8/2025	Courtesy transportation
Maryland	KCGE	Cambridge	5/2025	2 courtesy cars; fuel purchase required; back by 5pm
Maryland	KESN	Easton - Easton Jet & Maryland Air	8/2025	Cars at multiple FBOs
Maryland	KFDK	Frederick Municipal - Signature	8/2024	Courtesy car available
Maryland	KHGR	Hagerstown Regional - Rider Jet	8/2025	Courtesy car available
Maryland	2W6	Leonardtown - St Mary's County Regional / RCS Piedmont	8/2024	Courtesy car available
Maryland	KSBY	Salisbury - Ocean City Regional / Azure Flight Support	8/2025	2 cars
Maryland	KDMW	Westminster - Carrol Co Regional / Skytech	4/2025	Courtesy car available
Massachusetts	KBED	Bedford Hanscom - Signature & Jet Aviation	4/2025	Cars at multiple FBOs
Massachusetts	KBOS	Boston - Logan Intl / Signature	8/2024	Courtesy car available
Massachusetts	KGBR	Great Barrington - Walter J Koladza Airport	8/2024	Courtesy car available
Massachusetts	KHYA	Hyannis - Barnstable / Atlantic	7/2025	Courtesy car available
Massachusetts	KLWM	Lawrence Muni - Lawrence Airmotive / Lawrence Jet Center / Falcon Air	8/2025	Cars at multiple FBOs
Massachusetts	KGHG	Marshfield Municipal / Shoreline Aviation	8/2025	Courtesy car; call ahead
Massachusetts	KEWB	New Bedford Regional - Colonial Air	8/2025	Courtesy car available
Massachusetts	KOWD	Norwood Memorial - FlightLevel Aviation & Boston Executive	8/2025	Cars at multiple FBOs
Massachusetts	6B6	Stow - Minute Man Field / Stow Aviation	8/2025	Courtesy car available
Massachusetts	KBAF	Westfield - Barnes Regional / Atlantic	8/2025	Courtesy car available
Michigan	KADG	Adrian - Lenawee County Airport	8/2024	Ford Escape
Michigan	KARB	Ann Arbor Municipal	8/2024	Courtesy car available
Michigan	KBAX	Bad Axe - Huron County Memorial	8/2024	Car available
Michigan	KRQB	Big Rapids - Roben-Hood / Colt Aviation	4/2025	Newer Chevy Malibu
Michigan	3CM	Bay City - James Clements Municipal	8/2024	Courtesy car available
Michigan	N98	Boyne City Municipal	8/2024	Ford Escape; instructions in terminal
Michigan	KCAD	Cadillac - Wexford County Airport	8/2024	Car available
Michigan	KFPK	Charlotte - Fitch H Beach Airport	8/2024	Courtesy car available
Michigan	KSLH	Cheboygan - Cheboygan County Airport	8/2024	Car available
Michigan	KOEB	Coldwater - Branch Co. Memorial	7/2024	Courtesy car; call manager
Michigan	KDET	Detroit - Coleman A Young Municipal / Avflight	8/2025	Courtesy car; new building
Michigan	KONZ	Detroit - Grosse Ile	9/2024	2007 Ford 500
Michigan	KDTW	Detroit - Wayne Co. / Signature	8/2024	Car; 2-hour limit
Michigan	KDRM	Drummond Island Airport	4/2025	Car available; camping; hiking trails
Michigan	6D9	East Tawas - Iosco County Airport	7/2024	2006 Buick Lucerne with leather seats
Michigan	KESC	Escanaba - Delta County Airport	8/2024	Toyota Camry
Michigan	KFNT	Flint - Bishop International / AvFlight	8/2024	Car available
Michigan	KFKS	Frankfort - Dow Memorial Field	11/2024	Old police cruiser; call ahead for keys
Michigan	KGLR	Gaylord Regional	4/2025	Car available
Michigan	KGDW	Gladwin Zettel Memorial Airport	8/2024	2 old police cruisers
Michigan	4D0	Grand Ledge - Abrams Municipal	8/2024	Old municipal car; replace fuel
Michigan	KGRR	Grand Rapids - Gerald R Ford Intl / Avflight	3/2025	Tesla crew car for 3 hours
Michigan	KGOV	Grayling Army Airfield	8/2024	Retired Crown Vic with markings removed
Michigan	KMGN	Harbor Springs Airport	8/2024	Old school station wagon
Michigan	C04	Hart-Shelby - Oceana Co.	8/2024	Old Taurus; replace fuel or donate
Michigan	9D9	Hastings City - Barry County Airport	1/2025	Courtesy car; camping on field
Michigan	KJYM	Hillsdale Municipal	8/2024	Old police Impala; call ahead for key
Michigan	KBIV	Holland Tulip City Air - Avflight	7/2024	Car available
Michigan	KOZW	Howell - Livingston County	8/2024	Courtesy car; waiver required
Michigan	KIMT	Iron Mountain/Kingsford - Kubiak Aviation	9/2024	Two late model Equinox courtesy cars
Michigan	KIWD	Ironwood - Gogebic Iron County	7/2024	Car available
Michigan	KJXN	Jackson Co. - Skyway Aviation	7/2024	Dodge Caravan
Michigan	KAZO	Kalamazoo - Battle Creek Intl / Duncan Aviation	7/2024	2 cars
Michigan	KLAN	Lansing - Capital Region Intl / AvFlight	11/2024	Car available
Michigan	KLDM	Ludington - Mason County	7/2024	Nice minivan; replace fuel
Michigan	76G	Marine City	7/2024	Courtesy transportation
Michigan	KSAW	Marquette - Sawyer Intl / Kubick Aviation	7/2024	1-2 cars
Michigan	KMNM	Menominee - Marinette Twin County	8/2024	Courtesy car available
Michigan	KIKW	Midland - Jack Barstow / City of Midland	8/2024	Call or text for lockbox code
Michigan	KMOP	Mount Pleasant Municipal	7/2024	Crown Vic wrapped like airplane; paperwork M-F
Michigan	KMKG	Muskegon - Executive Air	8/2024	2 cars; one is a Volvo
Michigan	3TR	Niles - Jerry Tyler Memorial	8/2024	Late model Ford Explorer; cheap gas
Michigan	61D	Plainwell Municipal - Fly Inn Again	8/2024	Old city car
Michigan	KPTK	Pontiac - Oakland Co. / Oakland Air / Michigan Aviation / Pentastar	7/2024	Cars at multiple FBOs
Michigan	83D	St. Ignace - Mackinac County Airport	8/2024	Courtesy cars; no fees
Michigan	KLWA	South Haven Area Regional	8/2024	Red Ford F250 pickup truck; bicycles available
Minnesota	KAIT	Aitkin - Kurtz Field	8/2024	Courtesy car available
Minnesota	KAEL	Albert Lea Municipal	8/2025	Ford Explorer; 3-hour limit; mogas
Minnesota	KAXN	Alexandria - Chandler Field	4/2025	2 cars: Ford Interceptor and VW Passat
Minnesota	7Y4	Bagley Municipal	8/2024	Car available; call Sheriff's dispatch for code
Minnesota	KBJI	Bemidji Regional	8/2024	Car available at FBO
Minnesota	KBRD	Brainerd Lakes Regional - North Point Aviation	7/2025	2 cars available
Minnesota	KCFE	Buffalo Municipal	8/2024	Courtesy car available
Minnesota	KCBG	Cambridge Municipal	8/2024	Chevy Tahoe
Minnesota	KCNB	Canby - Myers Field	7/2025	2 former police cars
Minnesota	KCQM	Cook Municipal	4/2025	Car available; instructions in FBO
Minnesota	KCOQ	Cloquet/Carlton County - Venture North Aviation	4/2025	Cars; flight students priority; call first
Minnesota	KDTL	Detroit Lakes - Wething Field	4/2025	Crown Vic
Minnesota	KTOB	Dodge Center Airport	7/2024	Car available
Minnesota	KDLH	Duluth International - Monaco Aviation	7/2025	Car available
Minnesota	KDYT	Duluth Sky Harbor - Superior Flying Service	7/2025	Courtesy car available
Minnesota	Y63	Elbow Lake - Pride of the Prairie	4/2025	Dodge minivan and Santa Fe; call FBO Prairie Air
Minnesota	KFRM	Fairmont Municipal	8/2024	Old city police cruiser
Minnesota	KFFM	Fergus Falls Municipal - Einar Mickelson Field	8/2024	Car and van
Minnesota	KGYL	Glencoe Municipal	8/2024	Courtesy car available; heated building
Minnesota	KCKC	Grand Marais/Cook County Airport	10/2025	Car during business hours
Minnesota	KGPZ	Grand Rapids - Itasca County / AirWays Aviation Center	8/2024	Courtesy car available
Minnesota	KGDB	Granite Falls Muni	7/2025	Courtesy transportation
Minnesota	KHCO	Hallock Municipal - Two River Airspray	8/2024	Maroon Buick
Minnesota	KHIB	Hibbing Range Regional - Hibbing Fueling Facility	3/2025	Van; not overnight; first come basis
Minnesota	KHCD	Hutchinson Municipal - ASI Jet	8/2024	Car available
Minnesota	KMJQ	Jackson Municipal - PS Aviation	7/2025	Call ahead for checkout; great small town FBO
Minnesota	KLJF	Litchfield Municipal	4/2025	Old police cruiser
Minnesota	KLXL	Little Falls/Morrison County - Big Sky Aviation	4/2025	2024 Chevy Malibu; 2-hour max; mogas
Minnesota	14Y	Long Prairie - Todd Field	4/2025	Former police Ford Explorer; block heater in winter
Minnesota	KXVG	Longville Muni	7/2025	Courtesy transportation
Minnesota	KDXX	Madison - Lac Qui Parle County	7/2025	Call/text for lockbox code; very friendly
Minnesota	KMKT	Mankato Regional - North Star Aviation	8/2024	2-3 cars; no landing/handling fees for piston
Minnesota	18Y	Milaca Municipal	8/2024	Crown Vic
Minnesota	KMGG	Maple Lake Municipal - Ascend Aviation	4/2025	Green mini van
Minnesota	KHZX	McGregor - Iverson Airport	7/2025	Ford Explorer
Minnesota	KANE	Minneapolis Anoka / Blaine County - Atlantic Aviation	7/2025	Courtesy car available
Minnesota	KFCM	Minneapolis - Flying Cloud / Thunderbird / Premier Jet / Inflight	7/2025	Cars at multiple FBOs
Minnesota	KJMR	Mora Muni	8/2024	Courtesy car available
Minnesota	KMOX	Morris Municipal	9/2025	Black Ford Explorer retired police car
Mississippi	M40	Aberdeen/Armory - Monroe County	8/2025	Car available
Mississippi	KPMU	Batesville - Panola County Airport	8/2025	Car available
Mississippi	8M1	Booneville - Baldwyn Airport	8/2024	Courtesy van available
Mississippi	KRNV	Cleveland Municipal	8/2024	Blue Buick; first come first served; working A/C
Mississippi	KCKM	Clarksdale - Fletcher Field / Red Panther Aero	4/2025	Car available; call ahead; great self-serve fuel
Mississippi	0R0	Columbia - Marion County Airport	4/2025	Chevy Caprice; call ahead
Mississippi	KUBS	Columbus - Lowndes County / Straight Up Aviation	8/2025	Crown Vic
Mississippi	KCRX	Corinth - Roscoe Turner Airport	4/2025	4-door Kia Forte
Mississippi	KGLH	Greenville - Mid-Delta / Mid Delta Aviation	8/2025	Courtesy car available
Mississippi	KPIB	Hattiesburg - Laurel Regional	8/2025	Buick SUV; 2-hour limit
Mississippi	KJAN	Jackson - Medgar Wiley Evers / Atlantic Aviation	8/2025	3 courtesy cars
Mississippi	KLMS	Louisville - Winston Co.	8/2025	Cars available
Mississippi	KMBO	Madison - Bruce Campbell Field	1/2025	2+ cars; very customer-oriented service
Mississippi	KMEI	Meridian - Key Field / Meridian Aviation	8/2025	Courtesy car available
Mississippi	KHEZ	Natchez - Hardy-Anders Field / Adams County	8/2025	Courtesy transportation
Mississippi	M23	Newton - James H Easom Field	8/2025	Free courtesy cars with food nearby
Mississippi	KOLV	Olive Branch Airport - Olive Branch Aviation	8/2025	Courtesy car available
Mississippi	04M	Pittsboro - Calhoun County Airport	8/2024	Courtesy car; renovated FBO with kitchen
Mississippi	KSTF	Starkville - George M Bryan Airport	7/2024	2 courtesy cars; very nice airport
Mississippi	KHSA	Stennis International / Million Air	8/2025	Crew car available
Mississippi	KTUP	Tupelo	4/2025	2 Toyota Camrys and a Tesla
Mississippi	T36	Tylertown - Paul Pittman Memorial	4/2025	4-door sedan; call Mitch ahead
Mississippi	KTVR	Tallulah / Vicksburg Regional	4/2025	Car available
Mississippi	KVKS	Vicksburg Municipal	4/2025	Car available
Mississippi	87I	Yazoo - Yazoo County Airport	8/2024	Car available
Missouri	KAOV	Ava - Bill Martin Memorial	8/2024	Car available
Missouri	M17	Bolivar - S.O.A.R.	7/2025	2 Crown Vics; free lunch for pilots Thursdays
Missouri	KPLK	Branson - M Graham Clark Downtown	3/2024	Courtesy car available
Missouri	KBBG	Branson Airport - Branson Jet	7/2025	Courtesy car available
Missouri	KFWB	Branson West Municipal - Emerson Field	8/2024	Car; 2-hour limit
Missouri	M08	Brookfield North Central Mo. Regional	7/2025	Courtesy transportation
Missouri	KOZS	Camdenton Memorial - Lake Aviation	7/2025	Car available; $30-50 fee (fuel purchase deducted)
Missouri	KEZZ	Cameron Memorial	7/2025	Car available
